id,kommun,foretag_count,ratsit_link,created_at,updated_at,foretag_postort_saved
1,Ale kommun,3688,https://www.ratsit.se/foretag/Ale-kommun,2025-11-17 14:01:27,2025-11-17 16:38:41,1
2,Alingsås kommun,6628,https://www.ratsit.se/foretag/Alings%C3%A5s-kommun,2025-11-17 14:01:28,2025-11-17 16:39:15,1
3,Alvesta kommun,3156,https://www.ratsit.se/foretag/Alvesta-kommun,2025-11-17 14:01:28,2025-11-17 16:39:42,1
4,Aneby kommun,1296,https://www.ratsit.se/foretag/Aneby-kommun,2025-11-17 14:01:28,2025-11-17 16:40:02,1
5,Arboga kommun,1865,https://www.ratsit.se/foretag/Arboga-kommun,2025-11-17 14:01:29,2025-11-17 16:40:22,1
6,Arjeplogs kommun,752,https://www.ratsit.se/foretag/Arjeplogs-kommun,2025-11-17 14:01:29,2025-11-17 16:40:38,1
7,Arvidsjaurs kommun,1043,https://www.ratsit.se/foretag/Arvidsjaurs-kommun,2025-11-17 14:01:30,2025-11-17 16:40:53,1
8,Arvika kommun,4278,https://www.ratsit.se/foretag/Arvika-kommun,2025-11-17 14:01:30,2025-11-17 16:41:18,1
9,Askersunds kommun,1884,https://www.ratsit.se/foretag/Askersunds-kommun,2025-11-17 14:01:31,2025-11-17 16:41:42,1
10,Avesta kommun,3122,https://www.ratsit.se/foretag/Avesta-kommun,2025-11-17 14:01:31,2025-11-17 16:42:07,1
11,Bengtsfors kommun,2079,https://www.ratsit.se/foretag/Bengtsfors-kommun,2025-11-17 14:01:32,2025-11-17 16:42:26,1
12,Bergs kommun,2255,https://www.ratsit.se/foretag/Bergs-kommun,2025-11-17 14:01:32,2025-11-17 16:42:50,1
13,Bjurholms kommun,759,https://www.ratsit.se/foretag/Bjurholms-kommun,2025-11-17 14:01:33,2025-11-17 16:43:02,1
14,Bjuvs kommun,1551,https://www.ratsit.se/foretag/Bjuvs-kommun,2025-11-17 14:01:33,2025-11-17 16:43:24,1
15,Bodens kommun,4143,https://www.ratsit.se/foretag/Bodens-kommun,2025-11-17 14:01:34,2025-11-17 16:43:53,1
16,Bollebygds kommun,1568,https://www.ratsit.se/foretag/Bollebygds-kommun,2025-11-17 14:01:34,2025-11-17 16:44:11,1
17,Bollnäs kommun,4443,https://www.ratsit.se/foretag/Bolln%C3%A4s-kommun,2025-11-17 14:01:34,2025-11-17 16:44:40,1
18,Borgholms kommun,2619,https://www.ratsit.se/foretag/Borgholms-kommun,2025-11-17 14:01:35,2025-11-17 16:45:02,1
19,Borlänge kommun,6286,https://www.ratsit.se/foretag/Borl%C3%A4nge-kommun,2025-11-17 14:01:35,2025-11-17 16:45:41,1
20,Borås kommun,15762,https://www.ratsit.se/foretag/Bor%C3%A5s-kommun,2025-11-17 14:01:36,2025-11-17 16:47:13,1
21,Botkyrka kommun,9279,https://www.ratsit.se/foretag/Botkyrka-kommun,2025-11-17 14:01:36,2025-11-17 16:48:04,1
22,Boxholms kommun,178,https://www.ratsit.se/foretag/Boxholms-kommun,2025-11-17 14:01:37,2025-11-17 16:48:19,1
23,Bromölla kommun,1342,https://www.ratsit.se/foretag/Brom%C3%B6lla-kommun,2025-11-17 14:01:37,2025-11-17 16:48:39,1
24,Bräcke kommun,1528,https://www.ratsit.se/foretag/Br%C3%A4cke-kommun,2025-11-17 14:01:38,2025-11-17 16:48:56,1
25,Burlövs kommun,2040,https://www.ratsit.se/foretag/Burl%C3%B6vs-kommun,2025-11-17 14:01:38,2025-11-17 16:49:13,1
26,Båstads kommun,3661,https://www.ratsit.se/foretag/B%C3%A5stads-kommun,2025-11-17 14:01:38,2025-11-17 16:49:39,1
27,Dals-Eds kommun,1128,https://www.ratsit.se/foretag/Dals-Eds-kommun,2025-11-17 14:01:39,2025-11-17 16:49:51,1
28,Danderyds kommun,9282,https://www.ratsit.se/foretag/Danderyds-kommun,2025-11-17 14:01:39,2025-11-17 16:50:29,1
29,Degerfors kommun,1008,https://www.ratsit.se/foretag/Degerfors-kommun,2025-11-17 14:01:40,2025-11-17 16:50:50,1
30,Dorotea kommun,600,https://www.ratsit.se/foretag/Dorotea-kommun,2025-11-17 14:01:40,2025-11-17 16:51:11,1
31,Eda kommun,916,https://www.ratsit.se/foretag/Eda-kommun,2025-11-17 14:01:41,2025-11-17 16:51:35,1
32,Ekerö kommun,5264,https://www.ratsit.se/foretag/Eker%C3%B6-kommun,2025-11-17 14:01:41,2025-11-17 14:01:41,0
33,Eksjö kommun,2352,https://www.ratsit.se/foretag/Eksj%C3%B6-kommun,2025-11-17 14:01:42,2025-11-17 14:01:42,0
34,Emmaboda kommun,1651,https://www.ratsit.se/foretag/Emmaboda-kommun,2025-11-17 14:01:42,2025-11-17 14:01:42,0
35,Enköpings kommun,7162,https://www.ratsit.se/foretag/Enk%C3%B6pings-kommun,2025-11-17 14:01:42,2025-11-17 14:01:42,0
36,Eskilstuna kommun,10915,https://www.ratsit.se/foretag/Eskilstuna-kommun,2025-11-17 14:01:43,2025-11-17 14:01:43,0
37,Eslövs kommun,4185,https://www.ratsit.se/foretag/Esl%C3%B6vs-kommun,2025-11-17 14:01:43,2025-11-17 14:01:43,0
38,Essunga kommun,1152,https://www.ratsit.se/foretag/Essunga-kommun,2025-11-17 14:01:44,2025-11-17 14:01:44,0
39,Fagersta kommun,1212,https://www.ratsit.se/foretag/Fagersta-kommun,2025-11-17 14:01:44,2025-11-17 14:01:44,0
40,Falkenbergs kommun,7884,https://www.ratsit.se/foretag/Falkenbergs-kommun,2025-11-17 14:01:44,2025-11-17 14:01:44,0
41,Falköpings kommun,4889,https://www.ratsit.se/foretag/Falk%C3%B6pings-kommun,2025-11-17 14:01:45,2025-11-17 14:01:45,0
42,Falu kommun,20402,https://www.ratsit.se/foretag/Falu-kommun,2025-11-17 14:01:45,2025-11-17 14:01:45,0
43,Filipstads kommun,1077,https://www.ratsit.se/foretag/Filipstads-kommun,2025-11-17 14:01:46,2025-11-17 14:01:46,0
44,Finspångs kommun,2104,https://www.ratsit.se/foretag/Finsp%C3%A5ngs-kommun,2025-11-17 14:01:46,2025-11-17 14:01:46,0
45,Flens kommun,2018,https://www.ratsit.se/foretag/Flens-kommun,2025-11-17 14:01:47,2025-11-17 14:01:47,0
46,Forshaga kommun,1390,https://www.ratsit.se/foretag/Forshaga-kommun,2025-11-17 14:01:47,2025-11-17 14:01:47,0
47,Färgelanda kommun,1271,https://www.ratsit.se/foretag/F%C3%A4rgelanda-kommun,2025-11-17 14:01:48,2025-11-17 14:01:48,0
48,Gagnefs kommun,2051,https://www.ratsit.se/foretag/Gagnefs-kommun,2025-11-17 14:01:48,2025-11-17 14:01:48,0
49,Gislaveds kommun,4750,https://www.ratsit.se/foretag/Gislaveds-kommun,2025-11-17 14:01:48,2025-11-17 14:01:48,0
50,Gnesta kommun,1848,https://www.ratsit.se/foretag/Gnesta-kommun,2025-11-17 14:01:49,2025-11-17 14:01:49,0
51,Gnosjö kommun,1641,https://www.ratsit.se/foretag/Gnosj%C3%B6-kommun,2025-11-17 14:01:49,2025-11-17 14:01:49,0
52,Gotlands kommun,11839,https://www.ratsit.se/foretag/Gotlands-kommun,2025-11-17 14:01:50,2025-11-17 14:01:50,0
53,Grums kommun,1314,https://www.ratsit.se/foretag/Grums-kommun,2025-11-17 14:01:50,2025-11-17 14:01:50,0
54,Grästorps kommun,1093,https://www.ratsit.se/foretag/Gr%C3%A4storps-kommun,2025-11-17 14:01:51,2025-11-17 14:01:51,0
55,Gullspångs kommun,970,https://www.ratsit.se/foretag/Gullsp%C3%A5ngs-kommun,2025-11-17 14:01:51,2025-11-17 14:01:51,0
56,Gällivare kommun,2529,https://www.ratsit.se/foretag/G%C3%A4llivare-kommun,2025-11-17 14:01:51,2025-11-17 14:01:51,0
57,Gävle kommun,12546,https://www.ratsit.se/foretag/G%C3%A4vle-kommun,2025-11-17 14:01:52,2025-11-17 14:01:52,0
58,Göteborgs kommun,78032,https://www.ratsit.se/foretag/G%C3%B6teborgs-kommun,2025-11-17 14:01:52,2025-11-17 14:01:52,0
59,Göteborg - Centrum,23412,https://www.ratsit.se/foretag/G%C3%B6teborgs-kommun-Centrum,2025-11-17 14:01:53,2025-11-17 14:01:53,0
60,Göteborg - Hisingen,16036,https://www.ratsit.se/foretag/G%C3%B6teborgs-kommun-Hisingen,2025-11-17 14:01:53,2025-11-17 14:01:53,0
61,Göteborg - Nordost,8331,https://www.ratsit.se/foretag/G%C3%B6teborgs-kommun-Nordost,2025-11-17 14:01:54,2025-11-17 14:01:54,0
62,Göteborg - Väster,16913,https://www.ratsit.se/foretag/G%C3%B6teborgs-kommun-V%C3%A4ster,2025-11-17 14:01:54,2025-11-17 14:01:54,0
63,Göteborg - Öster,13340,https://www.ratsit.se/foretag/G%C3%B6teborgs-kommun-%C3%96ster,2025-11-17 14:01:55,2025-11-17 14:01:55,0
64,Götene kommun,1980,https://www.ratsit.se/foretag/G%C3%B6tene-kommun,2025-11-17 14:01:55,2025-11-17 14:01:55,0
65,Habo kommun,1722,https://www.ratsit.se/foretag/Habo-kommun,2025-11-17 14:01:56,2025-11-17 14:01:56,0
66,Hagfors kommun,1960,https://www.ratsit.se/foretag/Hagfors-kommun,2025-11-17 14:01:56,2025-11-17 14:01:56,0
67,Hallsbergs kommun,1957,https://www.ratsit.se/foretag/Hallsbergs-kommun,2025-11-17 14:01:56,2025-11-17 14:01:56,0
68,Hallstahammars kommun,1644,https://www.ratsit.se/foretag/Hallstahammars-kommun,2025-11-17 14:01:57,2025-11-17 14:01:57,0
69,Halmstads kommun,13630,https://www.ratsit.se/foretag/Halmstads-kommun,2025-11-17 14:01:57,2025-11-17 14:01:57,0
70,Hammarö kommun,1766,https://www.ratsit.se/foretag/Hammar%C3%B6-kommun,2025-11-17 14:01:58,2025-11-17 14:01:58,0
71,Haninge kommun,11065,https://www.ratsit.se/foretag/Haninge-kommun,2025-11-17 14:01:58,2025-11-17 14:01:58,0
72,Haparanda kommun,1455,https://www.ratsit.se/foretag/Haparanda-kommun,2025-11-17 14:01:59,2025-11-17 14:01:59,0
73,Heby kommun,1949,https://www.ratsit.se/foretag/Heby-kommun,2025-11-17 14:01:59,2025-11-17 14:01:59,0
74,Hedemora kommun,2621,https://www.ratsit.se/foretag/Hedemora-kommun,2025-11-17 14:01:59,2025-11-17 14:01:59,0
75,Helsingborgs kommun,19680,https://www.ratsit.se/foretag/Helsingborgs-kommun,2025-11-17 14:02:00,2025-11-17 14:02:00,0
76,Herrljunga kommun,1824,https://www.ratsit.se/foretag/Herrljunga-kommun,2025-11-17 14:02:00,2025-11-17 14:02:00,0
77,Hjo kommun,1318,https://www.ratsit.se/foretag/Hjo-kommun,2025-11-17 14:02:01,2025-11-17 14:02:01,0
78,Hofors kommun,985,https://www.ratsit.se/foretag/Hofors-kommun,2025-11-17 14:02:01,2025-11-17 14:02:01,0
79,Huddinge kommun,14356,https://www.ratsit.se/foretag/Huddinge-kommun,2025-11-17 14:02:02,2025-11-17 14:02:02,0
80,Hudiksvalls kommun,5774,https://www.ratsit.se/foretag/Hudiksvalls-kommun,2025-11-17 14:02:02,2025-11-17 14:02:02,0
81,Hultsfreds kommun,1904,https://www.ratsit.se/foretag/Hultsfreds-kommun,2025-11-17 14:02:02,2025-11-17 14:02:02,0
82,Hylte kommun,1715,https://www.ratsit.se/foretag/Hylte-kommun,2025-11-17 14:02:03,2025-11-17 14:02:03,0
83,Håbo kommun,2953,https://www.ratsit.se/foretag/H%C3%A5bo-kommun,2025-11-17 14:02:03,2025-11-17 14:02:03,0
84,Hällefors kommun,843,https://www.ratsit.se/foretag/H%C3%A4llefors-kommun,2025-11-17 14:02:04,2025-11-17 14:02:04,0
85,Härjedalens kommun,1048,https://www.ratsit.se/foretag/H%C3%A4rjedalens-kommun,2025-11-17 14:02:04,2025-11-17 14:02:04,0
86,Härnösands kommun,3172,https://www.ratsit.se/foretag/H%C3%A4rn%C3%B6sands-kommun,2025-11-17 14:02:04,2025-11-17 14:02:04,0
87,Härryda kommun,5792,https://www.ratsit.se/foretag/H%C3%A4rryda-kommun,2025-11-17 14:02:05,2025-11-17 14:02:05,0
88,Hässleholms kommun,7571,https://www.ratsit.se/foretag/H%C3%A4ssleholms-kommun,2025-11-17 14:02:05,2025-11-17 14:02:05,0
89,Höganäs kommun,4378,https://www.ratsit.se/foretag/H%C3%B6gan%C3%A4s-kommun,2025-11-17 14:02:06,2025-11-17 14:02:06,0
90,Högsby kommun,537,https://www.ratsit.se/foretag/H%C3%B6gsby-kommun,2025-11-17 14:02:06,2025-11-17 14:02:06,0
91,Hörby kommun,2826,https://www.ratsit.se/foretag/H%C3%B6rby-kommun,2025-11-17 14:02:07,2025-11-17 14:02:07,0
92,Höörs kommun,2636,https://www.ratsit.se/foretag/H%C3%B6%C3%B6rs-kommun,2025-11-17 14:02:07,2025-11-17 14:02:07,0
93,Jokkmokks kommun,1085,https://www.ratsit.se/foretag/Jokkmokks-kommun,2025-11-17 14:02:07,2025-11-17 14:02:07,0
94,Järfälla kommun,8848,https://www.ratsit.se/foretag/J%C3%A4rf%C3%A4lla-kommun,2025-11-17 14:02:08,2025-11-17 14:02:08,0
95,Jönköpings kommun,19663,https://www.ratsit.se/foretag/J%C3%B6nk%C3%B6pings-kommun,2025-11-17 14:02:08,2025-11-17 14:02:08,0
96,Kalix kommun,2864,https://www.ratsit.se/foretag/Kalix-kommun,2025-11-17 14:02:09,2025-11-17 14:02:09,0
97,Kalmar kommun,9109,https://www.ratsit.se/foretag/Kalmar-kommun,2025-11-17 14:02:09,2025-11-17 14:02:09,0
98,Karlsborgs kommun,1100,https://www.ratsit.se/foretag/Karlsborgs-kommun,2025-11-17 14:02:09,2025-11-17 14:02:09,0
99,Karlshamns kommun,3851,https://www.ratsit.se/foretag/Karlshamns-kommun,2025-11-17 14:02:10,2025-11-17 14:02:10,0
100,Karlskoga kommun,3033,https://www.ratsit.se/foretag/Karlskoga-kommun,2025-11-17 14:02:10,2025-11-17 14:02:10,0
101,Karlskrona kommun,7753,https://www.ratsit.se/foretag/Karlskrona-kommun,2025-11-17 14:02:11,2025-11-17 14:02:11,0
102,Karlstads kommun,13464,https://www.ratsit.se/foretag/Karlstads-kommun,2025-11-17 14:02:11,2025-11-17 14:02:11,0
103,Katrineholms kommun,3742,https://www.ratsit.se/foretag/Katrineholms-kommun,2025-11-17 14:02:11,2025-11-17 14:02:11,0
104,Kils kommun,2037,https://www.ratsit.se/foretag/Kils-kommun,2025-11-17 14:02:12,2025-11-17 14:02:12,0
105,Kinda kommun,1848,https://www.ratsit.se/foretag/Kinda-kommun,2025-11-17 14:02:12,2025-11-17 14:02:12,0
106,Kiruna kommun,3174,https://www.ratsit.se/foretag/Kiruna-kommun,2025-11-17 14:02:13,2025-11-17 14:02:13,0
107,Klippans kommun,2387,https://www.ratsit.se/foretag/Klippans-kommun,2025-11-17 14:02:13,2025-11-17 14:02:13,0
108,Knivsta kommun,2870,https://www.ratsit.se/foretag/Knivsta-kommun,2025-11-17 14:02:13,2025-11-17 14:02:13,0
109,Kramfors kommun,2165,https://www.ratsit.se/foretag/Kramfors-kommun,2025-11-17 14:02:14,2025-11-17 14:02:14,0
110,Kristianstads kommun,11103,https://www.ratsit.se/foretag/Kristianstads-kommun,2025-11-17 14:02:14,2025-11-17 14:02:14,0
111,Kristinehamns kommun,2906,https://www.ratsit.se/foretag/Kristinehamns-kommun,2025-11-17 14:02:15,2025-11-17 14:02:15,0
112,Krokoms kommun,3384,https://www.ratsit.se/foretag/Krokoms-kommun,2025-11-17 14:02:15,2025-11-17 14:02:15,0
113,Kumla kommun,2349,https://www.ratsit.se/foretag/Kumla-kommun,2025-11-17 14:02:16,2025-11-17 14:02:16,0
114,Kungsbacka kommun,14939,https://www.ratsit.se/foretag/Kungsbacka-kommun,2025-11-17 14:02:16,2025-11-17 14:02:16,0
115,Kungsörs kommun,1007,https://www.ratsit.se/foretag/Kungs%C3%B6rs-kommun,2025-11-17 14:02:16,2025-11-17 14:02:16,0
116,Kungälvs kommun,7497,https://www.ratsit.se/foretag/Kung%C3%A4lvs-kommun,2025-11-17 14:02:17,2025-11-17 14:02:17,0
117,Kävlinge kommun,4119,https://www.ratsit.se/foretag/K%C3%A4vlinge-kommun,2025-11-17 14:02:17,2025-11-17 14:02:17,0
118,Köpings kommun,2918,https://www.ratsit.se/foretag/K%C3%B6pings-kommun,2025-11-17 14:02:18,2025-11-17 14:02:18,0
119,Laholms kommun,4468,https://www.ratsit.se/foretag/Laholms-kommun,2025-11-17 14:02:18,2025-11-17 14:02:18,0
120,Landskrona kommun,4962,https://www.ratsit.se/foretag/Landskrona-kommun,2025-11-17 14:02:18,2025-11-17 14:02:18,0
121,Laxå kommun,854,https://www.ratsit.se/foretag/Lax%C3%A5-kommun,2025-11-17 14:02:19,2025-11-17 14:02:19,0
122,Lekebergs kommun,1507,https://www.ratsit.se/foretag/Lekebergs-kommun,2025-11-17 14:02:19,2025-11-17 14:02:19,0
123,Leksands kommun,3822,https://www.ratsit.se/foretag/Leksands-kommun,2025-11-17 14:02:20,2025-11-17 14:02:20,0
124,Lerums kommun,6101,https://www.ratsit.se/foretag/Lerums-kommun,2025-11-17 14:02:20,2025-11-17 14:02:20,0
125,Lessebo kommun,1089,https://www.ratsit.se/foretag/Lessebo-kommun,2025-11-17 14:02:20,2025-11-17 14:02:20,0
126,Lidingö kommun,10551,https://www.ratsit.se/foretag/Liding%C3%B6-kommun,2025-11-17 14:02:21,2025-11-17 14:02:21,0
127,Lidköpings kommun,5259,https://www.ratsit.se/foretag/Lidk%C3%B6pings-kommun,2025-11-17 14:02:21,2025-11-17 14:02:21,0
128,Lilla Edets kommun,1792,https://www.ratsit.se/foretag/Lilla-Edets-kommun,2025-11-17 14:02:22,2025-11-17 14:02:22,0
129,Lindesbergs kommun,3224,https://www.ratsit.se/foretag/Lindesbergs-kommun,2025-11-17 14:02:22,2025-11-17 14:02:22,0
130,Linköpings kommun,17169,https://www.ratsit.se/foretag/Link%C3%B6pings-kommun,2025-11-17 14:02:23,2025-11-17 14:02:23,0
131,Ljungby kommun,4965,https://www.ratsit.se/foretag/Ljungby-kommun,2025-11-17 14:02:23,2025-11-17 14:02:23,0
132,Ljusdals kommun,4199,https://www.ratsit.se/foretag/Ljusdals-kommun,2025-11-17 14:02:24,2025-11-17 14:02:24,0
133,Ljusnarsbergs kommun,724,https://www.ratsit.se/foretag/Ljusnarsbergs-kommun,2025-11-17 14:02:24,2025-11-17 14:02:24,0
134,Lomma kommun,3708,https://www.ratsit.se/foretag/Lomma-kommun,2025-11-17 14:02:25,2025-11-17 14:02:25,0
135,Ludvika kommun,2963,https://www.ratsit.se/foretag/Ludvika-kommun,2025-11-17 14:02:25,2025-11-17 14:02:25,0
136,Luleå kommun,12228,https://www.ratsit.se/foretag/Lule%C3%A5-kommun,2025-11-17 14:02:26,2025-11-17 14:02:26,0
137,Lunds kommun,21724,https://www.ratsit.se/foretag/Lunds-kommun,2025-11-17 14:02:26,2025-11-17 14:02:26,0
138,Lycksele kommun,2283,https://www.ratsit.se/foretag/Lycksele-kommun,2025-11-17 14:02:27,2025-11-17 14:02:27,0
139,Lysekils kommun,2021,https://www.ratsit.se/foretag/Lysekils-kommun,2025-11-17 14:02:27,2025-11-17 14:02:27,0
140,Malmö kommun,46569,https://www.ratsit.se/foretag/Malm%C3%B6-kommun,2025-11-17 14:02:28,2025-11-17 14:02:28,0
141,Malmö - Väster,16507,https://www.ratsit.se/foretag/Malm%C3%B6-kommun-V%C3%A4ster,2025-11-17 14:02:28,2025-11-17 14:02:28,0
142,Malmö - Öster,30062,https://www.ratsit.se/foretag/Malm%C3%B6-kommun-%C3%96ster,2025-11-17 14:02:28,2025-11-17 14:02:28,0
143,Malung-Sälens kommun,2981,https://www.ratsit.se/foretag/Malung-S%C3%A4lens-kommun,2025-11-17 14:02:29,2025-11-17 14:02:29,0
144,Malå kommun,743,https://www.ratsit.se/foretag/Mal%C3%A5-kommun,2025-11-17 14:02:30,2025-11-17 14:02:30,0
145,Mariestads kommun,2639,https://www.ratsit.se/foretag/Mariestads-kommun,2025-11-17 14:02:30,2025-11-17 14:02:30,0
146,Markaryds kommun,1611,https://www.ratsit.se/foretag/Markaryds-kommun,2025-11-17 14:02:30,2025-11-17 14:02:30,0
147,Marks kommun,5872,https://www.ratsit.se/foretag/Marks-kommun,2025-11-17 14:02:31,2025-11-17 14:02:31,0
148,Melleruds kommun,1883,https://www.ratsit.se/foretag/Melleruds-kommun,2025-11-17 14:02:31,2025-11-17 14:02:31,0
149,Mjölby kommun,2609,https://www.ratsit.se/foretag/Mj%C3%B6lby-kommun,2025-11-17 14:02:32,2025-11-17 14:02:32,0
150,Mora kommun,4880,https://www.ratsit.se/foretag/Mora-kommun,2025-11-17 14:02:32,2025-11-17 14:02:32,0
151,Motala kommun,3623,https://www.ratsit.se/foretag/Motala-kommun,2025-11-17 14:02:32,2025-11-17 14:02:32,0
152,Mullsjö kommun,954,https://www.ratsit.se/foretag/Mullsj%C3%B6-kommun,2025-11-17 14:02:33,2025-11-17 14:02:33,0
153,Munkedals kommun,1885,https://www.ratsit.se/foretag/Munkedals-kommun,2025-11-17 14:02:33,2025-11-17 14:02:33,0
154,Munkfors kommun,520,https://www.ratsit.se/foretag/Munkfors-kommun,2025-11-17 14:02:34,2025-11-17 14:02:34,0
